"","siteName","studyCode","investigators","first_year","last_year","latitude","longitude","elevation","species","reference","doi","contr_year","NOAAStudyId","NOAASiteId","url"
"313","Boulder Mountain - IMPD USBOM001","USBOM001","Heyerdahl, E.K.; Brown, P.M.; Kitchen, S.G.",1341,2004,38.193926,-111.41237,2891,"","Brown, P.M., E.K. Heyerdahl, S.G. Kitchen, and M.H. Weber.  2008.  Climate effects on historical fires (1630-1900) in Utah.  International Journal of Wildland Fire. 17:28-39.  doi.org/10.1071/WF07023; Heyerdahl, Emily K.; Brown, Peter M.; Kitchen, Stanley G.; Weber, Marc H. 2011. Multicentury fire and forest histories at 19 sites in Utah and eastern Nevada. Gen. Tech. Rep. RMRS-GTR-261WWW. Fort Collins, CO: U.S. Department of Agriculture, Forest Service, Rocky Mountain Research Station. 192 p.","https://doi.org/10.25921/hcwj-6p72",2021,"33235","58935","https://www.ncei.noaa.gov/access/paleo-search/study/33235"
"314","Brownie Creek - IMPD USBRO001","USBRO001","Heyerdahl, E.K.; Brown, P.M.; Kitchen, S.G.",1371,2004,40.653373,-109.764481,2660,"ABLA, JUSC, PCEN, PICO, PIPO, PSME","Brown, P.M., E.K. Heyerdahl, S.G. Kitchen, and M.H. Weber.  2008.  Climate effects on historical fires (1630-1900) in Utah.  International Journal of Wildland Fire. 17:28-39.  doi.org/10.1071/WF07023; Heyerdahl, Emily K.; Brown, Peter M.; Kitchen, Stanley G.; Weber, Marc H. 2011. Multicentury fire and forest histories at 19 sites in Utah and eastern Nevada. Gen. Tech. Rep. RMRS-GTR-261WWW. Fort Collins, CO: U.S. Department of Agriculture, Forest Service, Rocky Mountain Research Station. 192 p.","https://doi.org/10.25921/bmm1-dd17",2021,"33236","58936","https://www.ncei.noaa.gov/access/paleo-search/study/33236"
"315","Butler Creek","USBUT001","Heyerdahl, E.K.; Morgan, P.; Riser, J.P.",1570,1900,47.12,-114.4,1495,"PIPO",NA,NA,2008,"6024","20328","https://www.ncei.noaa.gov/access/paleo-search/study/6024"
"316","Central Uinta Mountains - IMPD USMUR001","USMUR001","Heyerdahl, E.K.; Brown, P.M.; Kitchen, S.G.",1545,2005,40.629756,-110.096766,2779,"PCEN, PICO, PIPO, PSME","Brown, P.M., E.K. Heyerdahl, S.G. Kitchen, and M.H. Weber.  2008.  Climate effects on historical fires (1630-1900) in Utah.  International Journal of Wildland Fire. 17:28-39.  doi.org/10.1071/WF07023; Heyerdahl, Emily K.; Brown, Peter M.; Kitchen, Stanley G.; Weber, Marc H. 2011. Multicentury fire and forest histories at 19 sites in Utah and eastern Nevada. Gen. Tech. Rep. RMRS-GTR-261WWW. Fort Collins, CO: U.S. Department of Agriculture, Forest Service, Rocky Mountain Research Station. 192 p.","https://doi.org/10.25921/hxsa-r596",2021,"33241","58941","https://www.ncei.noaa.gov/access/paleo-search/study/33241"
"317","Corona Road","USCOR001","Heyerdahl, E.K.; Morgan, P.; Riser, J.P.",1530,1982,47.6,-114.93,1250,"LAOC, PIPO",NA,NA,2008,"6025","20329","https://www.ncei.noaa.gov/access/paleo-search/study/6025"
"318","Cove Mountain","USCOV001","Heyerdahl, E.K.; Morgan, P.; Riser, J.P.",1500,2005,45.42,-115.52,1840,"PIPO",NA,NA,2008,"6026","20330","https://www.ncei.noaa.gov/access/paleo-search/study/6026"
"319","Crane Creek","USCRA003","Heyerdahl, E.K.; Morgan, P.",1617,1890,46.98736,-116.89421,950,"PIPO","Morgan; P.; Heyerdahl, E.K.; Strand, E.K.; Bunting, S.C.; Riser II, J.P.; Abatzoglou, J.T.; Nielsen-Pincus, M.; Johnson, M. Fire and land cover change in the Palouse Prairie-forest ecotone, Washington and Idaho, USA, in press. Fire Ecology. . ",NA,2019,"28040","58179","https://www.ncei.noaa.gov/access/paleo-search/study/28040"
"320","Crane Lookout","USCRN002","Heyerdahl, E.K.; Morgan, P.; Riser, J.P.",1510,2005,47.9,-114.02,1205,"PIPO",NA,NA,2008,"6027","20331","https://www.ncei.noaa.gov/access/paleo-search/study/6027"
"321","Dugout","USDCR001","Heyerdahl, E.K.; Brubaker, L.B.; Agee, J.K.",1480,1994,44.2,-118.37,1672,"PIPO","Heyerdahl, E.K., L.B. Brubaker, and J.K. Agee. 2001. Spatial controls of historical fire regimes:  a multiscale example from the Interior West, USA. Ecology, 82, 660-678. ; Heyerdahl, E.K. 1997. Spatial and temporal variation in historical fire regimes of the Blue Mountains, Oregon and Washington:  the influence of climate.  Ph.D. dissertation.  Seattle:  University of Washington.  224 p.; Heyerdahl, E.K., L.B. Brubaker and J.K. Agee. 2002. Annual and decadal climate forcing of historical fire regimes in the interior Pacific Northwest, USA. The Holocene, 12, 597-604. ; Heyerdahl, E.K. and S.J. McKay. 2001. Condition of live, fire-scarred ponderosa pine trees, six years after removing partial cross sections. Tree-Ring Research, 57, 131-139. ; Heyerdahl, E.K. and S.J. McKay. 2008. Condition of live, fire-scarred ponderosa pine eleven years after removing partial cross-sections. Tree-Ring Research, 64, 61-64. ",NA,2001,"2228","20332","https://www.ncei.noaa.gov/access/paleo-search/study/2228"
"322","East Tavaputs Plateau - IMPD USTVP001","USTVP001","Heyerdahl, E.K.; Brown, P.M.; Kitchen, S.G.",1532,2004,39.417383,-109.594825,2300,"PIPO, PSME","Brown, P.M., E.K. Heyerdahl, S.G. Kitchen, and M.H. Weber.  2008.  Climate effects on historical fires (1630-1900) in Utah.  International Journal of Wildland Fire. 17:28-39.  doi.org/10.1071/WF07023; Heyerdahl, Emily K.; Brown, Peter M.; Kitchen, Stanley G.; Weber, Marc H. 2011. Multicentury fire and forest histories at 19 sites in Utah and eastern Nevada. Gen. Tech. Rep. RMRS-GTR-261WWW. Fort Collins, CO: U.S. Department of Agriculture, Forest Service, Rocky Mountain Research Station. 192 p.","https://doi.org/10.25921/dd4p-g975",2021,"33246","58946","https://www.ncei.noaa.gov/access/paleo-search/study/33246"
"323","El Carpintero (CAR)","MXCAR001","Heyerdahl, E.K.; Alvarado, E.",1700,1995,24.48,-105.67,2790,"",NA,NA,2008,"2229","20333","https://www.ncei.noaa.gov/access/paleo-search/study/2229"
"324","Ephraim Canyon - IMPD USEPH001","USEPH001","Heyerdahl, E.K.; Brown, P.M.; Kitchen, S.G.",1552,2004,39.324379,-111.481828,2603,"ABCO, ABLA, PCEN, PIFL, PPTC, PSME","Brown, P.M., E.K. Heyerdahl, S.G. Kitchen, and M.H. Weber.  2008.  Climate effects on historical fires (1630-1900) in Utah.  International Journal of Wildland Fire. 17:28-39.  doi.org/10.1071/WF07023; Heyerdahl, Emily K.; Brown, Peter M.; Kitchen, Stanley G.; Weber, Marc H. 2011. Multicentury fire and forest histories at 19 sites in Utah and eastern Nevada. Gen. Tech. Rep. RMRS-GTR-261WWW. Fort Collins, CO: U.S. Department of Agriculture, Forest Service, Rocky Mountain Research Station. 192 p.","https://doi.org/10.25921/dcje-dy42",2021,"33237","58937","https://www.ncei.noaa.gov/access/paleo-search/study/33237"
"325","Falda de la Cañada (FCT)","MXFCT001","Heyerdahl, E.K.; Alvarado, E.",1754,1995,25.42,-106.95,2660,"",NA,NA,2004,"2230","20334","https://www.ncei.noaa.gov/access/paleo-search/study/2230"
"326","Flannigan Creek","USFLA001","Heyerdahl, E.K.; Morgan, P.; Riser, J.P.",1550,2005,46.85,-116.9,1000,"PIPO",NA,NA,2008,"6028","20335","https://www.ncei.noaa.gov/access/paleo-search/study/6028"
"327","Friedorf Gulch","USFRI001","Heyerdahl, E.K.; Morgan, P.; Riser, J.P.",1514,1967,45.55,-113.95,1560,"PIPO",NA,NA,2008,"6029","20336","https://www.ncei.noaa.gov/access/paleo-search/study/6029"
"328","Green Ridge","USGRR001","Heyerdahl, E.K.; Falk, D.A.; Loehman, R.A.",1410,2011,44.5865,-121.575111,1426,"ABGR, CADE, LAOC, PIPO, PSME","Merschel, A.G., T.A. Spies, and E.K. Heyerdahl. 2014. Mixed-conifer forests of central Oregon: effects of logging and fire exclusion vary with environment. Ecological Applications, 24, 1670–1688. doi: http://dx.doi.org/10.1890/13-1585.1",NA,2015,"18055","56471","https://www.ncei.noaa.gov/access/paleo-search/study/18055"
"329","Henry Mountains - IMPD USHNR001","USHNR001","Heyerdahl, E.K.; Brown, P.M.; Kitchen, S.G.",1321,2003,38.070874,-110.840099,2773,"PIFL, PIPO","Brown, P.M., E.K. Heyerdahl, S.G. Kitchen, and M.H. Weber.  2008.  Climate effects on historical fires (1630-1900) in Utah.  International Journal of Wildland Fire. 17:28-39.  doi.org/10.1071/WF07023; Heyerdahl, Emily K.; Brown, Peter M.; Kitchen, Stanley G.; Weber, Marc H. 2011. Multicentury fire and forest histories at 19 sites in Utah and eastern Nevada. Gen. Tech. Rep. RMRS-GTR-261WWW. Fort Collins, CO: U.S. Department of Agriculture, Forest Service, Rocky Mountain Research Station. 192 p.","https://doi.org/10.25921/wjs5-8p36",2021,"33238","58938","https://www.ncei.noaa.gov/access/paleo-search/study/33238"
"330","Holland Lake Road","USHOL001","Heyerdahl, E.K.; Morgan, P.; Riser, J.P.",1600,2005,47.43,-113.65,1250,"LAOC, PIPO",NA,NA,2008,"6030","20337","https://www.ncei.noaa.gov/access/paleo-search/study/6030"
"331","Hunter Point","USHUN001","Heyerdahl, E.K.; Morgan, P.; Riser, J.P.",1600,2004,48.88,-115.23,816,"LAOC, PIPO",NA,NA,2008,"6031","20338","https://www.ncei.noaa.gov/access/paleo-search/study/6031"
"332","Imnaha","USIRC001","Heyerdahl, E.K.; Brubaker, L.B.; Agee, J.K.",1480,1994,45.12,-116.98,1616,"PIPO","Heyerdahl, E.K., L.B. Brubaker, and J.K. Agee. 2001. Spatial controls of historical fire regimes:  a multiscale example from the Interior West, USA. Ecology, 82, 660-678. ; Heyerdahl, E.K. 1997. Spatial and temporal variation in historical fire regimes of the Blue Mountains, Oregon and Washington:  the influence of climate.  Ph.D. dissertation.  Seattle:  University of Washington.  224 p.; Heyerdahl, E.K., L.B. Brubaker and J.K. Agee. 2002. Annual and decadal climate forcing of historical fire regimes in the interior Pacific Northwest, USA. The Holocene, 12, 597-604. ; Heyerdahl, E.K. and S.J. McKay. 2001. Condition of live, fire-scarred ponderosa pine trees, six years after removing partial cross sections. Tree-Ring Research, 57, 131-139. ; Heyerdahl, E.K. and S.J. McKay. 2008. Condition of live, fire-scarred ponderosa pine eleven years after removing partial cross-sections. Tree-Ring Research, 64, 61-64. ",NA,2001,"2231","20339","https://www.ncei.noaa.gov/access/paleo-search/study/2231"
"333","Indian Creek - IMPD USINC001","USINC001","Heyerdahl, E.K.; Brown, P.M.; Kitchen, S.G.",1241,2002,38.426943,-112.505575,2441,"ABCO, PIPO, PSME","Brown, P.M., E.K. Heyerdahl, S.G. Kitchen, and M.H. Weber.  2008.  Climate effects on historical fires (1630-1900) in Utah.  International Journal of Wildland Fire. 17:28-39.  doi.org/10.1071/WF07023; Heyerdahl, Emily K.; Brown, Peter M.; Kitchen, Stanley G.; Weber, Marc H. 2011. Multicentury fire and forest histories at 19 sites in Utah and eastern Nevada. Gen. Tech. Rep. RMRS-GTR-261WWW. Fort Collins, CO: U.S. Department of Agriculture, Forest Service, Rocky Mountain Research Station. 192 p.","https://doi.org/10.25921/w7f3-4m20",2021,"33239","58939","https://www.ncei.noaa.gov/access/paleo-search/study/33239"
"334","Iron Mountain South","USIMS001","Heyerdahl, E.K.; Morgan, P.",1577,2015,47.11604,-116.9755,1140,"PIPO","Morgan; P.; Heyerdahl, E.K.; Strand, E.K.; Bunting, S.C.; Riser II, J.P.; Abatzoglou, J.T.; Nielsen-Pincus, M.; Johnson, M. Fire and land cover change in the Palouse Prairie-forest ecotone, Washington and Idaho, USA, in press. Fire Ecology. . ",NA,2019,"28041","58180","https://www.ncei.noaa.gov/access/paleo-search/study/28041"
"335","Keating Ridge","USKEA001","Heyerdahl, E.K.; Morgan, P.; Riser, J.P.",1536,1950,45.48,-116.15,1570,"PIPO",NA,NA,2008,"6032","20340","https://www.ncei.noaa.gov/access/paleo-search/study/6032"
"336","Las Bayas (LBA)","MXLBA001","Heyerdahl, E.K.; Alvarado, E.",1687,1995,23.45,-104.83,2900,"",NA,NA,2008,"2232","20341","https://www.ncei.noaa.gov/access/paleo-search/study/2232"
"337","Las Chivas (CHI)","MXCHI001","Heyerdahl, E.K.; Alvarado, E.",1791,1995,23.67,-105.52,2950,"",NA,NA,2008,"2233","20342","https://www.ncei.noaa.gov/access/paleo-search/study/2233"
"338","Lava Beds National Monument, Bearpaw Butte","USLBB001","Heyerdahl, E.K.; Miller, R.",1541,1928,41.73,-121.55,1600,"PIPO",NA,NA,2008,"2234","20343","https://www.ncei.noaa.gov/access/paleo-search/study/2234"
"339","Lava Beds National Monument, Caldwell Butte","USLBC001","Heyerdahl, E.K.; Miller, R.",1610,1929,41.7,-121.48,1580,"PIPO",NA,NA,2008,"2235","20344","https://www.ncei.noaa.gov/access/paleo-search/study/2235"
"340","Lava Beds National Monument, Hippo Butte","USLBH001","Heyerdahl, E.K.; Miller, R.",1664,1930,41.72,-121.53,1670,"PIPO",NA,NA,2008,"2236","20345","https://www.ncei.noaa.gov/access/paleo-search/study/2236"
"341","Leef's Hill","USLFH001","Heyerdahl, E.K.; Morgan, P.",1521,1992,46.86683,-116.72934,890,"PIPO","Peterson, L. 2004. Climatic drivers of wildfire regimes in northern Idaho. Senior thesis. . ; Morgan; P.; Heyerdahl, E.K.; Strand, E.K.; Bunting, S.C.; Riser II, J.P.; Abatzoglou, J.T.; Nielsen-Pincus, M.; Johnson, M. Fire and land cover change in the Palouse Prairie-forest ecotone, Washington and Idaho, USA, in press. Fire Ecology. . ",NA,2019,"28042","58181","https://www.ncei.noaa.gov/access/paleo-search/study/28042"
"342","Lower Stein River Valley","CALST001","Heyerdahl, E.K.; Lertzman, K.P.; Karpuk, S.",1600,1966,50.28,-121.67,574,"PIPO, PSME",NA,NA,2006,"2237","20346","https://www.ncei.noaa.gov/access/paleo-search/study/2237"
"343","Lowman Research Natural Area","USLOW001","Heyerdahl, E.K.; Morgan, P.; Riser, J.P.",1533,1989,44.07,-115.62,1570,"PIPO",NA,NA,2008,"6033","20347","https://www.ncei.noaa.gov/access/paleo-search/study/6033"
"344","Lytle Creek","USLYT001","Heyerdahl, E.K.; Falk, D.A.; Loehman, R.A.",1394,2009,44.278528,-120.290806,1654,"ABGR, JUOC, LAOC, PIPO, PSME","Merschel, A.G., T.A. Spies, and E.K. Heyerdahl. 2014. Mixed-conifer forests of central Oregon: effects of logging and fire exclusion vary with environment. Ecological Applications, 24, 1670–1688. doi: http://dx.doi.org/10.1890/13-1585.1",NA,2015,"18096","56474","https://www.ncei.noaa.gov/access/paleo-search/study/18096"
"345","McCormick Creek","USFAV001","Heyerdahl, E.K.; Morgan, P.; Riser, J.P.",1600,1950,47.15,-114.48,1220,"PIPO",NA,NA,2008,"6034","20348","https://www.ncei.noaa.gov/access/paleo-search/study/6034"
"346","McKay Creek","USKAY001","Heyerdahl, E.K.; Falk, D.A.; Loehman, R.A.",1339,2010,44.4855,-120.6445,1487,"ABGR, JUOC, LAOC, PIPO, PSME","Merschel, A.G., T.A. Spies, and E.K. Heyerdahl. 2014. Mixed-conifer forests of central Oregon: effects of logging and fire exclusion vary with environment. Ecological Applications, 24, 1670–1688. doi: http://dx.doi.org/10.1890/13-1585.1",NA,2015,"18075","56473","https://www.ncei.noaa.gov/access/paleo-search/study/18075"
"347","McMillan Mountain","USMCM001","Heyerdahl, E.K.; Morgan, P.; Riser, J.P.",1500,1912,48.32,-115.48,890,"PIPO",NA,NA,2008,"6035","20349","https://www.ncei.noaa.gov/access/paleo-search/study/6035"
"348","Mesa de los Ladrónes (MLC)","MXMLC001","Heyerdahl, E.K.; Alvarado, E.",1729,1995,24.47,-105.67,2830,"",NA,NA,2008,"2238","20350","https://www.ncei.noaa.gov/access/paleo-search/study/2238"
"349","Middle Stein River Valley","CASTN001","Heyerdahl, E.K.; Lertzman, K.P.",1511,1999,50.30305,-121.96777,884,"PIPO, PSME","Heyerdahl, E.K., D. McKenzie, L.D. Daniels, A.E. Hessl, J.S. Littell, and N.J. Mantua. 2008. Climate drivers of regionally synchronous fires in the inland Northwest (1651-1900).  International Journal of Wildland Fire. 17:40-49.; Heyerdahl , E.K., K. Lertzman, and C.M. Wong. 2012. Mixed-severity fire regimes in dry forests of southern interior British Columbia, Canada. Canadian Journal of Forest Research, 42, 1, 88-98. doi: 10.1139/x11-160",NA,2011,"12074","52379","https://www.ncei.noaa.gov/access/paleo-search/study/12074"
"350","Monroe Mountain - IMPD USMON003","USMON003","Heyerdahl, E.K.; Brown, P.M.; Kitchen, S.G.",1515,1994,38.564726,-112.03389,2735,"PIED, PIPO, PPTC, PSME","Brown, P.M., E.K. Heyerdahl, S.G. Kitchen, and M.H. Weber.  2008.  Climate effects on historical fires (1630-1900) in Utah.  International Journal of Wildland Fire. 17:28-39.  doi.org/10.1071/WF07023; Chappell, L. 1997. A fire history study conducted on the Monroe Mountain demonstration area. Final report. Richfield, Utah: U.S. Department of Agriculture, Forest Service, Fishlake National Forest. 25 p.; Heyerdahl, Emily K.; Brown, Peter M.; Kitchen, Stanley G.; Weber, Marc H. 2011. Multicentury fire and forest histories at 19 sites in Utah and eastern Nevada. Gen. Tech. Rep. RMRS-GTR-261WWW. Fort Collins, CO: U.S. Department of Agriculture, Forest Service, Rocky Mountain Research Station. 192 p.","https://doi.org/10.25921/yad2-4r20",2021,"33240","58940","https://www.ncei.noaa.gov/access/paleo-search/study/33240"
"351","Mytoge Mountains - IMPD USUFR001","Heyerdahl fire data from Mytoge","Heyerdahl, E.K.; Brown, P.M.; Kitchen, S.G.",1503,2003,38.570087,-111.656436,2920,"PCEN, PSME","Brown, P.M., E.K. Heyerdahl, S.G. Kitchen, and M.H. Weber.  2008.  Climate effects on historical fires (1630-1900) in Utah.  International Journal of Wildland Fire. 17:28-39.  doi.org/10.1071/WF07023; Heyerdahl, Emily K.; Brown, Peter M.; Kitchen, Stanley G.; Weber, Marc H. 2011. Multicentury fire and forest histories at 19 sites in Utah and eastern Nevada. Gen. Tech. Rep. RMRS-GTR-261WWW. Fort Collins, CO: U.S. Department of Agriculture, Forest Service, Rocky Mountain Research Station. 192 p.","https://doi.org/10.25921/01vx-bb19",2021,"33247","58948","https://www.ncei.noaa.gov/access/paleo-search/study/33247"
"352","North Fork Salmon River","USNFS001","Heyerdahl, E.K.; Morgan, P.; Riser, J.P.",1500,2002,45.53,-114.33,2250,"PIPO, PSME",NA,NA,2008,"6036","20351","https://www.ncei.noaa.gov/access/paleo-search/study/6036"
"353","Old Woman Plateau - IMPD USOWP001","USOWP001","Heyerdahl, E.K.; Brown, P.M.; Kitchen, S.G.",1490,1996,38.895055,-111.421875,2475,"PIPO","Brown, P.M., E.K. Heyerdahl, S.G. Kitchen, and M.H. Weber.  2008.  Climate effects on historical fires (1630-1900) in Utah.  International Journal of Wildland Fire. 17:28-39.  doi.org/10.1071/WF07023; Heyerdahl, Emily K.; Brown, Peter M.; Kitchen, Stanley G.; Weber, Marc H. 2011. Multicentury fire and forest histories at 19 sites in Utah and eastern Nevada. Gen. Tech. Rep. RMRS-GTR-261WWW. Fort Collins, CO: U.S. Department of Agriculture, Forest Service, Rocky Mountain Research Station. 192 p.","https://doi.org/10.25921/ac1x-y372",2021,"33242","58942","https://www.ncei.noaa.gov/access/paleo-search/study/33242"
"354","Old Woman Plateau - IMPD USOWP001","USPSG001","Heyerdahl, E.K.; Brown, P.M.; Kitchen, S.G.",1524,2004,38.895055,-111.421875,2475,"ABCO, PCEN, PIFL, PIPO, PSME","Brown, P.M., E.K. Heyerdahl, S.G. Kitchen, and M.H. Weber.  2008.  Climate effects on historical fires (1630-1900) in Utah.  International Journal of Wildland Fire. 17:28-39.  doi.org/10.1071/WF07023; Heyerdahl, Emily K.; Brown, Peter M.; Kitchen, Stanley G.; Weber, Marc H. 2011. Multicentury fire and forest histories at 19 sites in Utah and eastern Nevada. Gen. Tech. Rep. RMRS-GTR-261WWW. Fort Collins, CO: U.S. Department of Agriculture, Forest Service, Rocky Mountain Research Station. 192 p.","https://doi.org/10.25921/8gx6-5f24",2021,"33243","58942","https://www.ncei.noaa.gov/access/paleo-search/study/33243"
"355","Pine Creek","USPIN001","Heyerdahl, E.K.; Morgan, P.",1584,2005,47.05164,-116.96543,1120,"PIPO",NA,NA,2019,"28043","58182","https://www.ncei.noaa.gov/access/paleo-search/study/28043"
"356","Potholes","USPOT002","Heyerdahl, E.K.; Falk, D.A.; Loehman, R.A.",1490,2009,43.730972,-120.942639,1486,"PICO, PIPO","Heyerdahl, E.K., R.A. Loehman, D.A. Falk. 2014. Mixed-severity fire in lodgepole-dominated forests:  Are historical regimes sustainable on Oregon's Pumice Plateau, USA?. Canadian Journal of Forest Research, 44, 593-603. doi: doi 10.1139/cjfr-2013-0413",NA,2015,"18097","56475","https://www.ncei.noaa.gov/access/paleo-search/study/18097"
"357","Poverty Flat","USPOV001","Heyerdahl, E.K.; Morgan, P.; Riser, J.P.",1683,1985,44.82,-115.7,1390,"PIPO, PSME",NA,NA,2008,"6037","20352","https://www.ncei.noaa.gov/access/paleo-search/study/6037"
"358","Ray Mesa - IMPD USRAY001","USRAY001","Heyerdahl, E.K.; Brown, P.M.; Kitchen, S.G.",1553,2003,38.309544,-109.098136,2251,"PIED, PIPO","Brown, P.M., E.K. Heyerdahl, S.G. Kitchen, and M.H. Weber.  2008.  Climate effects on historical fires (1630-1900) in Utah.  International Journal of Wildland Fire. 17:28-39.  doi.org/10.1071/WF07023; Heyerdahl, Emily K.; Brown, Peter M.; Kitchen, Stanley G.; Weber, Marc H. 2011. Multicentury fire and forest histories at 19 sites in Utah and eastern Nevada. Gen. Tech. Rep. RMRS-GTR-261WWW. Fort Collins, CO: U.S. Department of Agriculture, Forest Service, Rocky Mountain Research Station. 192 p.","https://doi.org/10.25921/nxkg-bz91",2021,"33244","58944","https://www.ncei.noaa.gov/access/paleo-search/study/33244"
"359","Salsipuedes (SSP)","MXSSP002","Heyerdahl, E.K.; Alvarado, E.",1629,1995,28.15,-108.13,2620,"",NA,NA,2008,"2239","20353","https://www.ncei.noaa.gov/access/paleo-search/study/2239"
"360","Sawmill Creek Research Natural Area","USSML001","Heyerdahl, E.K.; Morgan, P.; Riser, J.P.",1500,2003,46.45,-113.9,1670,"PIPO, PSME",NA,NA,2008,"6038","20354","https://www.ncei.noaa.gov/access/paleo-search/study/6038"
"361","Sheafman Creek","USSHE001","Heyerdahl, E.K.; Morgan, P.; Riser, J.P.",1550,2004,46.33,-114.23,1625,"PIPO",NA,NA,2008,"6039","20355","https://www.ncei.noaa.gov/access/paleo-search/study/6039"
"362","Sheldon Flats","USLIB001","Heyerdahl, E.K.; Morgan, P.; Riser, J.P.",1553,1900,48.42,-115.53,705,"LAOC, PIPO",NA,NA,2008,"6040","20356","https://www.ncei.noaa.gov/access/paleo-search/study/6040"
"363","Slough","USSLO001","Heyerdahl, E.K.; Falk, D.A.; Loehman, R.A.",1539,1884,43.933645,-121.472754,1435,"PIPO","Merschel, A.G., Heyerdahl, E.K., Spies, T.A., and Loehman, R.A.  In press. 2018. Historical fire regimes varied with both landscape structure and forest type, in central Oregon, USA. Landscape Ecology. . ",NA,2018,"23655","57624","https://www.ncei.noaa.gov/access/paleo-search/study/23655"
"364","Snake Range - IMPD USBMC001","USBMC001","Heyerdahl, E.K.; Brown, P.M.; Kitchen, S.G.",1289,2004,39.030113,-114.278052,2799,"PIED, PIPO, PSME","Kitchen, Stanley G. 2012. Historical fire regime and forest variability on two eastern Great Basin fire-sheds (USA). Forest Ecology and Management. 285: 53-66.; Brown, P.M., E.K. Heyerdahl, S.G. Kitchen, and M.H. Weber.  2008.  Climate effects on historical fires (1630-1900) in Utah.  International Journal of Wildland Fire. 17:28-39.  doi.org/10.1071/WF07023; Heyerdahl, Emily K.; Brown, Peter M.; Kitchen, Stanley G.; Weber, Marc H. 2011. Multicentury fire and forest histories at 19 sites in Utah and eastern Nevada. Gen. Tech. Rep. RMRS-GTR-261WWW. Fort Collins, CO: U.S. Department of Agriculture, Forest Service, Rocky Mountain Research Station. 192 p.","https://doi.org/10.25921/43fv-r214",2021,"33234","58934","https://www.ncei.noaa.gov/access/paleo-search/study/33234"
"365","Sophie Lake","USVIZ001","Heyerdahl, E.K.; Morgan, P.; Riser, J.P.",1579,1919,48.97,-115.13,800,"PIPO",NA,NA,2008,"6041","20357","https://www.ncei.noaa.gov/access/paleo-search/study/6041"
"366","Southside Trail","USSST001","Heyerdahl, E.K.; Morgan, P.",1554,1930,46.81181,-116.9547,1100,"PIPO","Morgan; P.; Heyerdahl, E.K.; Strand, E.K.; Bunting, S.C.; Riser II, J.P.; Abatzoglou, J.T.; Nielsen-Pincus, M.; Johnson, M. Fire and land cover change in the Palouse Prairie-forest ecotone, Washington and Idaho, USA, in press. Fire Ecology. . ",NA,2019,"28044","58183","https://www.ncei.noaa.gov/access/paleo-search/study/28044"
"367","Tucannon","USTUC001","Heyerdahl, E.K.; Brubaker, L.B.; Agee, J.K.",1487,1994,46.18,-117.6,1462,"PIPO","Heyerdahl, E.K., L.B. Brubaker, and J.K. Agee. 2001. Spatial controls of historical fire regimes:  a multiscale example from the Interior West, USA. Ecology, 82, 660-678. ; Heyerdahl, E.K. 1997. Spatial and temporal variation in historical fire regimes of the Blue Mountains, Oregon and Washington:  the influence of climate.  Ph.D. dissertation.  Seattle:  University of Washington.  224 p.; Heyerdahl, E.K., L.B. Brubaker and J.K. Agee. 2002. Annual and decadal climate forcing of historical fire regimes in the interior Pacific Northwest, USA. The Holocene, 12, 597-604. ; Heyerdahl, E.K. and S.J. McKay. 2001. Condition of live, fire-scarred ponderosa pine trees, six years after removing partial cross sections. Tree-Ring Research, 57, 131-139. ; Heyerdahl, E.K. and S.J. McKay. 2008. Condition of live, fire-scarred ponderosa pine eleven years after removing partial cross-sections. Tree-Ring Research, 64, 61-64. ",NA,2001,"2240","20358","https://www.ncei.noaa.gov/access/paleo-search/study/2240"
"368","Twenty-Three Mile Bar","USTTM001","Heyerdahl, E.K.; Morgan, P.; Riser, J.P.",1690,2005,46.08,-115.4,900,"PIPO",NA,NA,2008,"6042","20359","https://www.ncei.noaa.gov/access/paleo-search/study/6042"
"369","Wah Wah Mountains - IMPD USWAH001","USWAH001","Heyerdahl, E.K.; Brown, P.M.; Kitchen, S.G.",1200,2003,38.611401,-113.566944,2440,"ABCO, JUOS, JUSC, PILO, PIMO, PIPO","Brown, P.M., E.K. Heyerdahl, S.G. Kitchen, and M.H. Weber.  2008.  Climate effects on historical fires (1630-1900) in Utah.  International Journal of Wildland Fire. 17:28-39.  doi.org/10.1071/WF07023; Heyerdahl, Emily K.; Brown, Peter M.; Kitchen, Stanley G.; Weber, Marc H. 2011. Multicentury fire and forest histories at 19 sites in Utah and eastern Nevada. Gen. Tech. Rep. RMRS-GTR-261WWW. Fort Collins, CO: U.S. Department of Agriculture, Forest Service, Rocky Mountain Research Station. 192 p.","https://doi.org/10.25921/qgkz-s439",2021,"33248","58949","https://www.ncei.noaa.gov/access/paleo-search/study/33248"
"370","Warm Springs Ridge","USWSR001","Heyerdahl, E.K.; Morgan, P.; Riser, J.P.",1521,1950,43.83,-115.9,1540,"PIPO, PSME",NA,NA,2008,"6043","20360","https://www.ncei.noaa.gov/access/paleo-search/study/6043"
"371","Wash Creek","USWSH001","Heyerdahl, E.K.; Morgan, P.; Riser, J.P.",1600,1892,44.05,-115.92,1055,"PIPO",NA,NA,2008,"6044","20361","https://www.ncei.noaa.gov/access/paleo-search/study/6044"
